MD_Energy;MD_EigenVector;Analitycal_Energy;Analitycal_EigenVector
2,76257457806782E-19;0,441682712096543;2,76348503603812E-19;0,195207419992917
 ;0,897171322454659; ;0,980761980900416
 ;7,24913200568255; ;9,04601392564689E-63
 ;10; ;4,47103734730045E-62
 ;13,0389571545895; ;2,19179976499035E-61
 ;16,4431259962682; ;1,06569948536863E-60
 ;20,2948426780144; ;5,13936784452891E-60
 ;24,683050960907; ;2,45824677611995E-59
 ;29,7046289052005; ;1,1662236382384E-58
 ;35,4656626304046; ;5,48755065081823E-58
 ;42,0826751784599; ;2,56103394174961E-57
 ;49,6838127191182; ;1,18547380859153E-56
 ;58,4099850470802; ;5,44262197678714E-56
 ;68,415952396871; ;2,47835602917055E-55
 ;79,8713459473202; ;1,11933032490248E-54
 ;92,9616049427287; ;5,01408421567016E-54
 ;107,888809093626; ;2,22773476720429E-53
 ;124,872380835434; ;9,816881900467E-53
 ;144,149628142062; ;4,29063519286347E-52
 ;165,976094959634; ;1,85997568390421E-51
 ;190,62568300939; ;7,99705900432233E-51
 ;218,390505793076; ;3,4102827888118E-50
 ;249,580433219328; ;1,44240507358037E-49
 ;284,522283470257; ;6,0509078025923E-49
 ;323,558617669226; ;2,51761873604734E-48
 ;367,046092727266; ;1,03895132291086E-47
 ;415,353328575014; ;4,25241778513395E-47
 ;468,858247967848; ;1,72628225911099E-46
 ;527,944850318727; ;6,95060339479094E-46
 ;592,999385691149; ;2,77566906744472E-45
 ;664,405901284135; ;1,09937787089637E-44
 ;742,541140551962; ;4,31876993293943E-44
 ;827,768784586408; ;1,68269947417995E-43
 ;920,433036578323; ;6,50258581881796E-43
 ;1020,85156305889; ;2,49228839509082E-42
 ;1129,30782014417; ;9,47420517632061E-42
 ;1246,04280906418; ;3,57206353940867E-41
 ;1371,24632268867; ;1,33575580088426E-40
 ;1505,04776334659; ;4,95411476486688E-40
 ;1647,50663169365; ;1,82236660084169E-39
 ;1798,6028063685; ;6,64868417284379E-39
 ;1958,22675428884; ;2,40583315299218E-38
 ;2126,16983121062; ;8,63425196908327E-38
 ;2302,11485108963; ;3,07335621568512E-37
 ;2485,62712028377; ;1,08499965121491E-36
 ;2676,14614811665; ;3,79904427019925E-36
 ;2872,97825816739; ;1,31930952590671E-35
 ;3075,29033422506; ;4,54408191413934E-35
 ;3282,10494052501; ;1,55228773730691E-34
 ;3492,29705706842; ;5,25925738884864E-34
 ;3704,59266696209; ;1,76726729787058E-33
 ;3917,5694233147; ;5,88986248296386E-33
 ;4129,65960788776; ;1,94685065901934E-32
 ;4339,15557213241; ;6,38240196060353E-32
 ;4544,21782328268; ;2,07519611637321E-31
 ;4742,88588380646; ;6,692017333923E-31
 ;4933,09201188231; ;2,14031311259329E-30
 ;5112,67782399794; ;6,78921129175923E-30
 ;5279,41380876024; ;2,13590777537573E-29
 ;5431,02166426653; ;6,6644791925751E-29
 ;5565,19933079547; ;2,06238555997657E-28
 ;5679,64852720274; ;6,3298407978929E-28
 ;5772,10453448677; ;1,92678984176131E-27
 ;5840,36790490935; ;5,8169305021465E-27
 ;5882,33771132838; ;1,74168931303723E-26
 ;5896,04589062834; ;5,17206634397612E-26
 ;5879,69217898478; ;1,52325763227549E-25
 ;5831,67908684917; ;4,44936245245448E-25
 ;5750,64631964405; ;1,28895159955133E-24
 ;5635,50401778879; ;3,70330151590909E-24
 ;5485,46416828468; ;1,0552476520561E-23
 ;5300,06953094972; ;2,98216573412565E-23
 ;5079,2194265627; ;8,35834703506584E-23
 ;4823,19175244033; ;2,32337561428175E-22
 ;4532,66062381344; ;6,40513078503838E-22
 ;4208,70908693338; ;1,75123829766927E-21
 ;3852,83641190676; ;4,74865108099957E-21
 ;3466,95954923039; ;1,27703300288746E-20
 ;3053,40842289163; ;3,40596267937988E-20
 ;2614,9148333523; ;9,00912438036363E-20
 ;2154,59485401848; ;2,3633564140751E-19
 ;1675,92472285332; ;6,14863599909645E-19
 ;1182,71035425928; ;1,58646400545785E-18
 ;679,050722636843; ;4,05959275545866E-18
 ;169,295495331515; ;1,03023054237394E-17
 ;-342,002583896273; ;2,59289511981358E-17
 ;-850,139942154555; ;6,47191638931995E-17
 ;-1350,31832789263; ;1,60205371584486E-16
 ;-1837,70403971221; ;3,93293034242757E-16
 ;-2307,48932554006; ;9,57522933645764E-16
 ;-2754,95497755983; ;2,31192942634565E-15
 ;-3175,53310017133; ;5,53593639942209E-15
 ;-3564,86900020409; ;1,31461135105152E-14
 ;-3918,88114178905; ;3,09593637606693E-14
 ;-4233,81812331895; ;7,23058765957307E-14
 ;-4506,31167090575; ;1,67471379631054E-13
 ;-4733,42470123071; ;3,84672823341452E-13
 ;-4912,69358569752; ;8,76243363895968E-13
 ;-5042,16384583611; ;1,97942334062691E-12
 ;-5120,4186249675; ;4,43436736578808E-12
 ;-5146,59941079058; ;9,85149105676145E-12
 ;-5120,41862496782; ;2,17044010603744E-11
 ;-5042,16384583675; ;4,74206338047936E-11
 ;-4912,69358569847; ;1,02744533475729E-10
 ;-4733,42470123196; ;2,2075978789993E-10
 ;-4506,31167090729; ;4,70380244898955E-10
 ;-4233,81812332076; ;9,93902916410927E-10
 ;-3918,88114179112; ;2,08258384928204E-09
 ;-3564,86900020639; ;4,32735426083268E-09
 ;-3175,53310017385; ;8,91664623116876E-09
 ;-2754,95497756253; ;1,82195390018058E-08
 ;-2307,48932554292; ;3,6917096950776E-08
 ;-1837,7040397152; ;7,41770355677739E-08
 ;-1350,31832789573; ;1,47795275040764E-07
 ;-850,139942157731; ;2,92010220351392E-07
 ;-342,002583899495; ;5,72109499942467E-07
 ;169,295495328277; ;1,11147819961451E-06
 ;679,050722633619; ;2,14121555190311E-06
 ;1182,7103542561; ;4,0902921987708E-06
 ;1675,92472285021; ;7,74781991169104E-06
 ;2154,59485401547; ;1,45523304504237E-05
 ;2614,91483334942; ;2,71025341549193E-05
 ;3053,40842288889; ;5,00504411621023E-05
 ;3466,95954922782; ;9,16479519018575E-05
 ;3852,83641190438; ;0,000166398916837164
 ;4208,70908693121; ;0,000299562171689512
 ;4532,6606238115; ;0,000534721792971795
 ;4823,19175243862; ;0,000946386960480582
 ;5079,21942656125; ;0,0016607523554067
 ;5300,06953094853; ;0,00288955777817383
 ;5485,46416828376; ;0,00498474742722813
 ;5635,50401778816; ;0,0085257945615681
 ;5750,64631964369; ;0,0144577568253422
 ;5831,6790868491; ;0,0243072299161491
 ;5879,69217898499; ;0,0405165445611517
 ;5896,04589062883; ;0,0669553506189917
 ;5882,33771132915; ;0,109695143571575
 ;5840,3679049104; ;0,178168803937618
 ;5772,10453448808; ;0,286886853694816
 ;5679,64852720432; ;0,457948386023255
 ;5565,19933079731; ;0,724671347108857
 ;5431,02166426863; ;1,13677796486328
 ;5279,41380876258; ;1,76771014573671
 ;5112,67782400052; ;2,72481896847966
 ;4933,09201188513; ;4,16337216433007
 ;4742,8858838095; ;6,30555024750976
 ;4544,21782328595; ;9,4658469214048
 ;4339,15557213589; ;14,0845362232659
 ;4129,65960789146; ;20,7710914969554
 ;3917,56942331861; ;30,3596015837192
 ;3704,59266696621; ;43,9782755987008
 ;3492,29705707275; ;63,1349924933152
 ;3282,10494052955; ;89,820454248959
 ;3075,29033422982; ;126,62974965564
 ;2872,97825817238; ;176,901931543589
 ;2676,14614812188; ;244,875460899986
 ;2485,62712028924; ;335,85500194487
 ;2302,11485109536; ;456,382025381564
 ;2126,16983121663; ;614,398014209061
 ;1958,22675429516; ;819,384872673833
 ;1798,60280637515; ;1082,46262664412
 ;1647,50663170067; ;1416,42001308017
 ;1505,047763354; ;1835,64956685148
 ;1371,24632269653; ;2355,95594164675
 ;1246,04280907253; ;2994,20518084761
 ;1129,30782015306; ;3767,78428765411
 ;1020,8515630684; ;4693,84553437498
 ;920,433036588523; ;5788,31920246403
 ;827,768784597382; ;7064,69234144769
 ;742,541140563809; ;8532,56980560806
 ;664,405901296969; ;10196,0569125998
 ;592,999385705099; ;12052,0296046178
 ;527,944850333943; ;14088,3863391192
 ;468,858247984501; ;16282,4037641761
 ;415,353328593303; ;18599,342603816
 ;367,046092747419; ;20991,4677161509
 ;323,558617691509; ;23397,6534608063
 ;284,522283494977; ;25743,7390095226
 ;249,580433246838; ;27943,7754031072
 ;218,390505823792; ;29902,2654772857
 ;190,625683043793; ;31517,4392958803
 ;165,976094998286; ;32685,5333995401
 ;144,149628185621; ;33305,9560500179
 ;124,872380884669; ;33287,128820995
 ;107,888809149443; ;32552,7052010264
 ;92,9616050061907; ;31047,7883504212
 ;79,8713460196814; ;28744,7121645609
 ;68,4159524796126; ;25647,9210676507
 ;58,409985141955; ;21797,4914905271
 ;49,683812828205; ;17270,8860050369
 ;42,0826753042289; ;12182,6202096416
 ;35,4656627757969; ;6681,64915260886
 ;29,7046290737253; ;946,436558415757
 ;24,6830511567595; ;-4822,15524814276
 ;20,2948429062201; ;-10409,8386504894
 ;16,4431262628597; ;-15599,2557329866
 ;13,0389574668229; ;-20181,0968737253
 ;10,0000003666207; ;-23965,2717466015
 ;7,24913227145077; ;-26791,3829048007
 ;4,71296037841546; ;-28537,7741564647
 ;2,32021807857918; ;-29128,5091251356
